gender,age,address,famsize,Pstatus,M_edu,F_edu,M_job,F_job,relationship_breakdown,smoker,avarage_tution_fee_cost,time_spent_with_friends,ssc_result,hsc_result
F,24,U,GT3,T ,3,2,health ,teacher ,Yes ,No ,200000,1,4.78,4.27
M,21,U,LE3,T ,3,4,teacher ,teacher ,No ,Yes ,800000,3,4.78,4.75
F,23,U,LE3,T ,4,2,at_home ,other ,Yes ,No ,450000,1,4.37,4.14
M,22,R,GT3,A ,3,2,at_home ,other ,Yes ,Yes ,200000,2,4.25,4.4
F,20,R,GT3,T ,4,4,at_home ,other ,No ,Yes ,100000,1,4.28,4.69
F,21,U,GT3,T ,4,3,at_home ,other ,Yes ,Yes ,800000,1,4.56,4.73
M,23,R,GT3,T ,2,2,at_home ,services ,Yes ,Yes ,700000,2,4.63,4.82
F,22,R,GT3,T ,4,2,health ,other ,Yes ,No ,800000,1,4.87,4.45
M,20,R,GT3,T ,4,2,at_home ,teacher ,No ,Yes ,450000,1,4.76,4.3
F,23,R,GT3,T ,3,4,at_home ,other ,No ,Yes ,200000,3,4.8,4.76
M,22,U,LE3,T ,2,2,health ,other ,No ,No ,450000,1,4.67,4.16
M,20,R,GT3,T ,4,2,at_home ,other ,Yes ,Yes ,700000,5,4.86,4.38
M,24,U,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,850000,1,4.6,4.01
F,24,R,LE3,T ,4,4,at_home ,other ,Yes ,Yes ,500000,3,4.66,4.05
M,22,R,GT3,T ,4,3,teacher ,teacher ,No ,No ,300000,3,4.23,4.33
M,22,U,GT3,T ,3,3,services ,services ,No ,No ,850000,1,4.54,4.07
F,20,U,GT3,T ,4,3,health ,other ,Yes ,Yes ,250000,4,4.79,4.58
M,23,U,GT3,T ,4,3,health ,teacher ,No ,Yes ,450000,1,4.75,4.37
F,22,R,GT3,T ,2,4,other ,other ,Yes ,Yes ,850000,1,4.82,4.78
M,22,U,GT3,T ,3,2,at_home ,teacher ,No ,Yes ,100000,2,4.31,4.68
F,22,R,GT3,T ,4,4,other ,services ,Yes ,No ,550000,1,4.56,4.84
M,24,U,LE3,T ,2,4,at_home ,services ,Yes ,Yes ,100000,2,4.34,3.96
M,22,R,LE3,T ,4,3,other ,health ,Yes ,No ,500000,2,4.86,4.3
F,23,U,GT3,T ,2,2,at_home ,other ,Yes ,No ,100000,1,4.49,4.56
M,23,U,LE3,A ,2,3,at_home ,health ,Yes ,No ,800000,1,4.28,4.68
F,20,R,GT3,T ,2,3,at_home ,services ,No ,Yes ,50000,2,4.06,4.03
F,20,U,GT3,T ,3,4,teacher ,teacher ,No ,Yes ,600000,1,4.2,4.6
F,21,R,LE3,T ,2,4,other ,teacher ,No ,Yes ,250000,2,4.18,4.13
M,20,R,GT3,T ,4,4,at_home ,services ,No ,No ,800000,3,4.57,4.49
M,22,U,LE3,T ,2,3,other ,health ,Yes ,Yes ,100000,1,4.54,3.98
F,20,R,LE3,T ,3,2,other ,teacher ,Yes ,Yes ,300000,3,4.54,4.2
M,22,U,LE3,T ,3,4,at_home ,services ,Yes ,Yes ,400000,1,4.31,4.46
F,20,U,LE3,A ,3,4,at_home ,services ,Yes ,No ,600000,4,4.51,4.84
F,22,U,LE3,T ,4,4,teacher ,teacher ,Yes ,Yes ,600000,2,4.09,4.58
F,21,R,LE3,T ,3,3,at_home ,teacher ,Yes ,No ,850000,1,4.19,4.55
M,24,R,GT3,T ,4,4,at_home ,services ,Yes ,Yes ,800000,1,4.89,4.14
F,23,R,GT3,T ,3,4,health ,other ,Yes ,Yes ,500000,1,4.87,4.74
F,21,U,GT3,T ,2,4,other ,teacher ,Yes ,Yes ,400000,2,4.64,4.26
F,23,R,GT3,T ,2,4,at_home ,other ,Yes ,Yes ,100000,3,3.98,4.4
M,23,U,LE3,T ,3,3,other ,health ,Yes ,Yes ,50000,2,4.83,4.5
M,23,U,GT3,T ,2,2,at_home ,teacher ,No ,Yes ,800000,1,4.1,4.15
F,23,U,GT3,A ,2,3,services ,health ,No ,Yes ,100000,1,4.27,4.59
M,24,U,GT3,T ,2,4,at_home ,other ,No ,Yes ,500000,5,4.87,4.81
M,23,U,GT3,T ,2,3,other ,health ,No ,Yes ,800000,1,4.57,4.54
F,22,R,GT3,T ,2,3,health ,other ,Yes ,No ,850000,3,4.02,4.82
M,22,U,GT3,T ,3,3,at_home ,teacher ,Yes ,No ,800000,4,4.04,4.28
M,24,R,LE3,T ,4,4,at_home ,other ,No ,Yes ,100000,2,4.56,4.36
F,20,U,GT3,T ,4,2,other ,other ,Yes ,No ,100000,3,4.09,4.41
M,21,U,GT3,A ,2,2,at_home ,other ,Yes ,Yes ,200000,1,4.94,4.87
M,22,R,GT3,T ,2,2,at_home ,services ,Yes ,No ,700000,1,4.38,4.37
F,20,R,LE3,T ,2,2,at_home ,services ,No ,No ,300000,1,4.67,4.1
F,23,U,GT3,T ,4,4,other ,other ,Yes ,No ,500000,1,4.32,4.05
M,24,U,GT3,T ,2,2,at_home ,teacher ,No ,Yes ,800000,2,4.62,4
F,23,U,GT3,A ,3,3,at_home ,health ,Yes ,Yes ,100000,1,4.04,4.71
F,21,U,GT3,T ,3,2,teacher ,at_home ,Yes ,No ,300000,1,4.92,4.05
M,22,R,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,600000,3,4.83,4.21
M,21,R,GT3,T ,2,4,other ,health ,Yes ,Yes ,450000,1,4.41,4.88
M,23,U,GT3,T ,4,4,at_home ,teacher ,No ,No ,700000,1,4.5,4.81
F,24,U,GT3,T ,3,4,at_home ,teacher ,No ,Yes ,250000,1,4.11,4.86
F,21,R,GT3,T ,4,2,at_home ,services ,No ,No ,700000,2,4.95,4.27
M,20,R,GT3,T ,2,4,at_home ,other ,Yes ,No ,100000,1,4.27,3.96
M,24,U,GT3,T ,3,2,other ,teacher ,Yes ,Yes ,450000,1,4.7,4.85
M,23,R,LE3,T ,4,2,other ,health ,No ,Yes ,250000,2,4.79,4.26
M,24,R,GT3,T ,2,3,at_home ,other ,Yes ,No ,600000,1,4.96,4.31
M,24,U,LE3,T ,3,4,teacher ,services ,No ,Yes ,800000,1,4.2,3.98
F,23,R,LE3,T ,4,3,at_home ,other ,No ,No ,300000,1,4.69,4.21
M,24,U,GT3,T ,2,2,at_home ,health ,No ,Yes ,200000,1,4.67,4.32
F,24,U,GT3,T ,2,3,services ,teacher ,No ,Yes ,550000,1,4.22,4.48
M,22,U,LE3,T ,3,2,at_home ,teacher ,No ,No ,600000,3,4.72,4.42
F,23,R,GT3,T ,2,4,at_home ,health ,No ,Yes ,300000,1,4.77,4.8
M,20,U,GT3,T ,4,3,at_home ,teacher ,Yes ,Yes ,450000,2,4.09,4.65
M,20,R,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,500000,1,4.22,4.68
F,21,U,GT3,A ,2,3,at_home ,health ,No ,Yes ,400000,3,4.91,4.09
F,22,R,GT3,T ,2,3,at_home ,health ,Yes ,Yes ,300000,1,4.16,4.11
F,21,U,GT3,T ,4,2,at_home ,services ,No ,No ,200000,3,4.72,4.81
M,20,U,LE3,T ,4,2,health ,teacher ,No ,Yes ,300000,1,4.14,4.34
F,23,R,GT3,T ,2,2,services ,services ,No ,Yes ,300000,2,4.09,4.45
F,20,U,GT3,T ,4,3,health ,services ,Yes ,No ,400000,1,4.13,4.19
F,23,R,LE3,T ,3,4,teacher ,other ,Yes ,No ,400000,1,4.06,4.18
F,24,U,GT3,T ,3,3,at_home ,health ,Yes ,Yes ,800000,1,4.07,4.55
M,23,U,LE3,T ,3,4,services ,services ,Yes ,No ,700000,1,4.98,4.51
M,24,U,GT3,T ,2,3,at_home ,other ,Yes ,No ,550000,2,3.92,4.6
M,24,U,GT3,T ,3,4,services ,services ,No ,Yes ,200000,1,4.48,3.96
F,23,R,GT3,T ,4,4,at_home ,health ,Yes ,Yes ,600000,2,4.92,4.76
F,24,R,GT3,T ,4,4,services ,teacher ,Yes ,No ,300000,1,3.97,4.17
F,21,U,GT3,T ,3,3,services ,health ,Yes ,No ,250000,1,4.85,4.25
F,22,R,GT3,T ,2,2,at_home ,teacher ,Yes ,No ,300000,5,4.09,3.97
F,22,U,GT3,T ,4,2,services ,other ,No ,No ,850000,1,4.01,4.44
M,21,R,LE3,T ,2,4,at_home ,health ,Yes ,Yes ,550000,1,4.16,4.04
F,24,U,LE3,T ,3,2,health ,health ,No ,No ,600000,1,4.87,3.98
F,21,R,GT3,T ,2,3,at_home ,other ,No ,No ,50000,4,4.1,4.52
F,20,R,LE3,T ,4,4,at_home ,other ,No ,No ,500000,2,4.45,4.57
M,22,R,GT3,T ,3,3,teacher ,services ,No ,No ,250000,3,4.05,4.6
M,24,R,GT3,T ,4,3,other ,health ,Yes ,No ,500000,1,4.68,4.76
M,24,U,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,50000,3,4.51,4.17
F,22,R,GT3,T ,3,4,at_home ,teacher ,No ,No ,400000,1,4.96,4.69
M,24,U,LE3,T ,4,3,services ,teacher ,Yes ,Yes ,400000,1,4.35,3.98
F,24,R,GT3,T ,3,4,services ,health ,No ,Yes ,800000,2,4.48,4.14
M,22,U,GT3,T ,2,2,at_home ,health ,Yes ,Yes ,600000,1,4.23,3.96
M,24,U,GT3,T ,2,2,at_home ,teacher ,Yes ,Yes ,600000,2,4.82,4.2
M,21,R,GT3,T ,3,2,at_home ,other ,Yes ,No ,550000,2,4.2,4.68
M,23,R,GT3,T ,3,2,at_home ,health ,Yes ,No ,550000,1,4.3,4.18
F,20,R,GT3,T ,2,3,at_home ,services ,No ,Yes ,300000,1,4.6,4.63
F,21,U,LE3,T ,2,4,at_home ,health ,Yes ,No ,400000,1,4.43,4.7
M,23,R,GT3,T ,4,3,health ,services ,Yes ,No ,800000,1,4.9,4.24
M,21,U,GT3,T ,2,2,teacher ,other ,Yes ,No ,50000,1,4.1,4.43
M,21,R,GT3,T ,3,3,health ,teacher ,No ,Yes ,500000,4,4.03,4.51
F,24,R,GT3,T ,2,4,at_home ,services ,No ,No ,300000,1,4.48,4.66
F,22,U,GT3,T ,2,4,at_home ,services ,Yes ,Yes ,50000,2,4.26,4.58
F,24,U,GT3,T ,2,4,services ,teacher ,Yes ,Yes ,600000,3,4.64,4.47
F,22,R,LE3,T ,4,4,at_home ,services ,Yes ,Yes ,600000,2,4.63,4.08
M,22,U,LE3,T ,2,2,other ,other ,Yes ,No ,200000,1,3.99,4.4
M,24,R,GT3,T ,2,4,at_home ,other ,No ,No ,200000,1,4.54,3.98
M,22,R,GT3,T ,2,3,teacher ,other ,No ,Yes ,50000,1,4.55,4.23
F,22,R,GT3,T ,3,2,services ,other ,No ,No ,450000,3,4.18,4.54
M,23,U,GT3,A ,3,2,teacher ,services ,Yes ,No ,100000,1,3.92,4.31
F,22,R,LE3,T ,3,4,teacher ,teacher ,No ,No ,550000,1,4.31,4.54
M,22,U,LE3,T ,2,2,at_home ,teacher ,Yes ,Yes ,250000,3,4.7,4.06
M,23,R,GT3,T ,2,3,other ,health ,Yes ,No ,250000,1,4.19,4.09
F,20,R,GT3,T ,3,3,other ,services ,No ,No ,550000,1,4.39,4.55
F,20,R,GT3,T ,2,3,at_home ,teacher ,Yes ,No ,450000,2,4.2,4.46
M,24,U,GT3,T ,4,4,services ,other ,No ,No ,300000,1,4.24,4.28
M,21,U,GT3,T ,2,2,teacher ,other ,Yes ,Yes ,50000,1,4.19,4.25
F,21,U,GT3,T ,2,4,health ,services ,No ,Yes ,550000,1,4.93,4.25
M,23,R,LE3,A ,2,3,at_home ,other ,Yes ,Yes ,700000,5,4.44,4.46
F,23,R,LE3,T ,4,2,other ,health ,No ,No ,250000,1,4.17,4.23
M,21,R,GT3,T ,4,3,health ,health ,No ,Yes ,400000,1,4.52,4.31
F,21,U,GT3,T ,2,4,at_home ,teacher ,Yes ,Yes ,50000,4,4.04,4.82
M,23,U,GT3,T ,2,4,at_home ,services ,Yes ,No ,550000,1,4.31,4.71
M,22,U,GT3,T ,2,2,at_home ,services ,Yes ,Yes ,700000,1,4.28,3.96
F,23,U,GT3,T ,2,3,health ,other ,Yes ,Yes ,100000,2,4.5,4.58
F,20,U,GT3,T ,2,4,health ,teacher ,Yes ,Yes ,850000,2,4.58,4.81
F,23,R,GT3,T ,3,3,services ,other ,No ,No ,600000,1,4.42,4.65
M,21,U,GT3,T ,3,3,at_home ,other ,Yes ,Yes ,600000,1,4.64,4.05
M,21,R,GT3,T ,3,4,at_home ,services ,Yes ,No ,700000,1,4.27,4.37
F,23,U,GT3,T ,3,2,health ,other ,Yes ,Yes ,400000,1,4.69,4.84
M,23,U,GT3,T ,3,4,health ,other ,No ,Yes ,800000,5,4.72,4.18
F,23,U,GT3,T ,2,3,at_home ,other ,No ,No ,300000,1,4.17,4.18
F,22,U,GT3,T ,4,2,at_home ,health ,Yes ,No ,850000,1,3.95,4.69
M,24,R,LE3,T ,2,2,health ,other ,No ,Yes ,850000,1,4.48,4.82
F,23,U,GT3,T ,2,2,at_home ,teacher ,Yes ,No ,700000,2,4.88,4.27
F,24,R,GT3,T ,3,4,health ,services ,No ,No ,200000,4,4.53,4.7
M,23,R,GT3,T ,2,3,at_home ,services ,No ,No ,200000,5,4.93,4.85
F,21,U,GT3,T ,3,3,at_home ,other ,No ,Yes ,100000,5,4.79,4.41
M,20,R,GT3,T ,3,2,at_home ,health ,Yes ,No ,100000,1,4.04,4.31
F,21,U,GT3,T ,3,4,at_home ,health ,No ,No ,550000,1,3.93,3.95
F,24,U,GT3,T ,3,2,at_home ,other ,No ,Yes ,600000,1,4.52,4.28
F,23,R,GT3,T ,4,4,at_home ,health ,No ,Yes ,50000,1,4.86,4.06
F,24,R,GT3,T ,4,4,other ,teacher ,Yes ,Yes ,700000,1,3.93,4.52
M,20,R,LE3,T ,4,2,services ,other ,No ,No ,850000,3,4.95,4.85
M,22,R,GT3,T ,3,2,at_home ,services ,No ,Yes ,400000,3,4.9,4.58
M,24,R,LE3,T ,4,2,services ,teacher ,Yes ,Yes ,50000,1,3.99,4.75
F,24,U,GT3,T ,2,4,services ,teacher ,No ,No ,250000,1,4.07,4.81
F,21,R,LE3,T ,2,3,health ,teacher ,Yes ,Yes ,300000,4,4.59,4.61
M,23,R,GT3,T ,2,4,at_home ,health ,Yes ,Yes ,50000,1,4.06,4.11
F,21,U,LE3,T ,2,3,at_home ,other ,Yes ,No ,600000,2,4.43,4.45
M,21,R,GT3,T ,3,3,at_home ,other ,Yes ,No ,300000,3,4.02,4.31
F,24,U,GT3,A ,4,2,teacher ,other ,Yes ,Yes ,50000,1,4.96,4.71
M,24,U,GT3,T ,3,3,other ,other ,Yes ,No ,600000,3,4.52,4.5
F,20,R,LE3,T ,2,2,at_home ,teacher ,Yes ,No ,700000,1,4.45,4.43
F,21,U,LE3,T ,2,2,health ,other ,Yes ,No ,800000,1,4.26,4.23
F,21,U,LE3,T ,3,3,at_home ,at_home ,Yes ,Yes ,400000,4,4.65,4.48
F,21,R,LE3,T ,2,3,teacher ,other ,No ,No ,50000,1,4.43,4.18
F,24,U,GT3,T ,3,4,services ,services ,Yes ,No ,50000,2,4.82,4.05
F,22,U,GT3,T ,3,2,at_home ,health ,No ,Yes ,250000,1,4.74,4.59
M,22,R,GT3,T ,2,4,at_home ,other ,Yes ,No ,450000,1,4.05,4.42
F,22,R,GT3,T ,2,2,other ,other ,No ,Yes ,250000,5,4.05,4.17
M,21,U,GT3,T ,4,2,at_home ,other ,Yes ,Yes ,700000,2,4.66,4.15
F,24,R,GT3,T ,2,2,other ,services ,Yes ,Yes ,50000,1,4.21,4.06
M,23,R,GT3,T ,3,4,other ,other ,Yes ,Yes ,500000,1,3.97,4.38
F,23,R,LE3,T ,2,2,at_home ,teacher ,Yes ,Yes ,300000,5,4.82,4.89
F,21,U,GT3,T ,2,3,health ,services ,No ,Yes ,500000,1,4.38,3.97
F,22,U,LE3,T ,3,2,teacher ,health ,Yes ,Yes ,100000,1,4.87,4.36
F,21,R,GT3,T ,4,3,teacher ,other ,Yes ,No ,400000,1,4.44,4.46
M,24,R,GT3,T ,2,2,at_home ,teacher ,Yes ,Yes ,800000,1,4.7,4.89
M,21,U,GT3,T ,4,4,at_home ,teacher ,Yes ,No ,300000,1,4.91,4.65
F,20,U,LE3,T ,4,4,at_home ,other ,Yes ,Yes ,300000,1,4.3,4.03
M,24,R,LE3,T ,3,3,at_home ,services ,No ,No ,800000,4,4.15,4.56
F,21,R,GT3,T ,4,2,teacher ,health ,No ,No ,850000,2,4.29,4.68
F,23,U,GT3,T ,2,3,services ,services ,Yes ,No ,100000,2,3.98,4.51
M,20,U,LE3,T ,3,2,at_home ,services ,Yes ,No ,800000,1,4.17,4.83
M,23,U,GT3,T ,3,4,teacher ,teacher ,No ,No ,300000,1,3.99,4.88
M,20,R,GT3,T ,3,3,other ,services ,Yes ,No ,250000,2,4.47,4.79
M,22,U,GT3,T ,2,3,services ,other ,Yes ,Yes ,850000,1,4.32,4.35
M,20,U,GT3,T ,4,3,at_home ,services ,Yes ,Yes ,100000,1,4.31,4.56
F,21,U,GT3,T ,3,2,other ,services ,Yes ,No ,500000,2,4.81,4.51
F,23,R,LE3,T ,2,2,at_home ,other ,Yes ,Yes ,600000,1,4.36,4.25
M,21,R,GT3,T ,3,2,at_home ,teacher ,Yes ,No ,200000,1,4.22,4.89
M,22,R,LE3,T ,4,4,at_home ,other ,Yes ,No ,400000,2,4.36,3.99
F,24,R,GT3,T ,3,2,teacher ,services ,No ,Yes ,550000,2,3.93,4.88
F,23,R,GT3,T ,2,3,at_home ,other ,No ,No ,800000,1,4.13,4.88
F,24,U,GT3,T ,4,3,at_home ,health ,No ,Yes ,600000,1,4.24,4.76
M,21,R,GT3,T ,4,4,at_home ,health ,No ,Yes ,550000,1,4.33,4.21
F,20,R,GT3,T ,2,2,health ,health ,Yes ,Yes ,800000,1,4.36,4.65
F,24,R,GT3,T ,4,4,other ,teacher ,Yes ,No ,50000,2,4.59,4.88
F,22,R,LE3,T ,3,4,health ,other ,Yes ,Yes ,500000,1,4.25,4.17
F,22,U,LE3,A ,3,3,at_home ,other ,No ,Yes ,250000,1,4.88,4.73
F,22,U,GT3,T ,3,3,at_home ,other ,No ,Yes ,50000,2,4.35,4.04
M,23,U,GT3,T ,2,3,health ,other ,No ,Yes ,600000,4,3.92,4.19
M,24,R,GT3,T ,3,3,at_home ,teacher ,Yes ,No ,400000,3,4.84,4.18
F,22,U,GT3,T ,2,2,health ,services ,Yes ,Yes ,500000,1,4.16,4.89
F,22,U,GT3,T ,3,2,at_home ,teacher ,No ,Yes ,300000,1,4.63,4.88
M,20,R,GT3,T ,2,2,services ,health ,Yes ,Yes ,600000,1,4.69,4.32
M,21,U,GT3,T ,2,3,other ,at_home ,Yes ,Yes ,700000,1,4.69,4.75
F,24,U,GT3,T ,2,3,services ,services ,Yes ,No ,500000,2,4.77,4.13
M,23,U,GT3,T ,3,3,other ,health ,Yes ,Yes ,450000,1,4.47,4.26
F,20,U,GT3,T ,4,4,teacher ,health ,No ,Yes ,450000,1,4.05,4.41
M,24,U,LE3,T ,2,3,teacher ,services ,No ,Yes ,100000,3,4.33,3.95
F,23,R,GT3,T ,4,4,at_home ,other ,Yes ,No ,550000,1,4.95,4.28
M,23,R,LE3,T ,3,4,at_home ,teacher ,Yes ,No ,600000,4,4.83,4.85
M,20,U,LE3,T ,2,4,other ,teacher ,Yes ,No ,250000,1,4.32,4.11
M,24,R,LE3,T ,2,3,at_home ,teacher ,Yes ,Yes ,700000,2,4.76,4.3
F,22,U,GT3,T ,4,2,health ,teacher ,Yes ,Yes ,50000,1,4.71,4.31
M,21,U,GT3,T ,2,3,health ,health ,Yes ,No ,850000,3,4.88,4.11
M,21,R,GT3,T ,2,4,at_home ,health ,Yes ,No ,700000,1,4.94,4.88
M,20,U,LE3,T ,4,3,health ,services ,Yes ,No ,200000,2,4.88,4.03
F,21,R,GT3,T ,4,4,teacher ,health ,No ,Yes ,700000,2,4.88,4.38
F,20,R,GT3,T ,2,2,at_home ,services ,Yes ,Yes ,700000,1,4.1,4.26
M,20,U,GT3,T ,3,4,at_home ,services ,Yes ,No ,200000,2,4.95,4.8
M,20,R,GT3,T ,3,3,health ,teacher ,No ,No ,700000,3,4.02,4.36
M,20,R,GT3,T ,4,3,other ,health ,No ,Yes ,250000,2,3.94,4.18
M,20,U,GT3,T ,4,4,services ,other ,No ,No ,550000,2,4.4,4.8
F,24,R,GT3,T ,4,2,at_home ,services ,No ,Yes ,700000,1,3.95,4.72
M,21,R,GT3,T ,2,4,teacher ,health ,No ,Yes ,100000,1,4.54,4.44
F,23,U,LE3,A ,4,3,other ,teacher ,Yes ,Yes ,200000,1,4.98,4.42
F,23,U,GT3,T ,2,4,health ,other ,Yes ,Yes ,700000,1,4.17,4.64
M,22,U,GT3,T ,3,4,other ,health ,Yes ,No ,400000,3,4.26,4.71
F,24,R,LE3,T ,3,3,other ,services ,Yes ,No ,550000,2,3.99,4.8
M,21,R,GT3,T ,4,3,services ,health ,No ,Yes ,100000,1,4.66,4.72
F,22,U,GT3,T ,4,3,other ,health ,Yes ,Yes ,600000,2,4.49,4.65
F,21,U,LE3,T ,3,4,services ,services ,Yes ,No ,450000,2,4.65,3.95
F,23,R,LE3,T ,3,2,at_home ,health ,Yes ,No ,800000,1,4.88,4.6
M,20,U,LE3,T ,4,3,at_home ,health ,Yes ,No ,400000,1,4.33,4.17
M,24,U,LE3,T ,4,4,services ,health ,No ,No ,600000,1,4.23,4.18
M,22,U,GT3,T ,2,4,teacher ,other ,Yes ,Yes ,450000,1,4.01,4.23
F,20,R,GT3,T ,3,2,services ,health ,Yes ,No ,700000,1,4.89,4.1
M,23,U,GT3,T ,3,2,at_home ,teacher ,No ,Yes ,250000,1,4.4,4.52
M,24,U,GT3,T ,2,3,at_home ,other ,No ,Yes ,550000,3,4.26,4.68
M,22,R,GT3,T ,2,3,health ,teacher ,Yes ,No ,700000,1,3.95,4.58
M,23,U,GT3,T ,2,3,teacher ,teacher ,No ,Yes ,50000,1,4.13,4.21
F,22,R,LE3,T ,4,4,teacher ,at_home ,Yes ,No ,850000,1,4.15,4.56
M,24,R,GT3,T ,2,2,teacher ,teacher ,No ,Yes ,800000,3,4.42,4.21
F,20,R,GT3,T ,3,3,at_home ,other ,Yes ,Yes ,300000,2,4.72,4.4
M,24,U,LE3,T ,4,3,other ,other ,No ,No ,450000,2,4.81,4.19
M,22,U,GT3,T ,3,2,at_home ,teacher ,No ,Yes ,400000,1,4.16,4.28
F,20,R,GT3,A ,2,3,at_home ,other ,Yes ,No ,400000,1,4.84,4.82
F,24,U,GT3,T ,3,2,at_home ,other ,No ,No ,450000,2,4.3,4.61
M,20,U,LE3,T ,3,3,at_home ,services ,No ,Yes ,450000,2,4.34,4.26
M,22,U,LE3,T ,2,4,at_home ,teacher ,Yes ,No ,300000,1,4.07,4.34
M,20,U,GT3,T ,2,3,health ,other ,No ,Yes ,50000,1,4.31,4.19
F,24,R,GT3,T ,4,4,teacher ,teacher ,No ,No ,200000,2,4.28,4.51
F,22,R,GT3,T ,3,3,other ,services ,Yes ,Yes ,550000,1,4.76,4.52
F,20,U,GT3,T ,2,3,health ,services ,Yes ,Yes ,800000,1,4.21,4.76
M,20,R,GT3,T ,2,3,at_home ,services ,No ,No ,450000,1,4.84,4.84
M,22,R,GT3,T ,4,4,at_home ,teacher ,Yes ,No ,50000,1,4.73,3.94
M,22,R,GT3,T ,4,3,at_home ,services ,No ,Yes ,800000,1,4.41,4.51
M,22,U,GT3,T ,2,3,at_home ,services ,No ,No ,250000,1,4.82,4.78
M,23,U,GT3,T ,2,2,other ,health ,No ,Yes ,250000,4,4.31,4.38
F,24,R,GT3,T ,2,2,other ,services ,No ,No ,400000,1,4.83,4.44
M,21,U,GT3,T ,3,4,at_home ,services ,No ,Yes ,850000,1,3.94,4.68
F,20,U,GT3,T ,4,2,at_home ,other ,No ,No ,850000,1,3.96,4.09
M,22,U,GT3,T ,2,3,at_home ,health ,Yes ,Yes ,800000,2,4,3.98
M,24,U,GT3,T ,4,4,teacher ,other ,No ,No ,400000,1,4.93,4.05
F,20,R,GT3,T ,2,4,services ,health ,Yes ,Yes ,400000,1,4.91,4.23
F,22,R,GT3,T ,4,2,at_home ,health ,No ,Yes ,450000,1,4.26,4.82
F,23,U,LE3,T ,3,4,at_home ,other ,No ,No ,250000,1,4.65,4.04
F,22,R,GT3,T ,3,4,at_home ,health ,Yes ,Yes ,200000,1,4.83,4.87
F,24,U,LE3,T ,4,2,other ,other ,No ,No ,450000,4,3.93,4.26
F,24,R,GT3,T ,3,3,health ,services ,Yes ,Yes ,300000,4,4.62,4.35
F,24,U,GT3,T ,2,4,at_home ,teacher ,Yes ,Yes ,300000,1,4.86,4.13
F,24,R,GT3,T ,2,4,services ,other ,No ,No ,700000,2,4.77,4.73
F,23,U,GT3,T ,2,4,other ,teacher ,Yes ,No ,100000,1,4.48,4.41
M,23,R,GT3,T ,2,3,at_home ,health ,No ,No ,600000,1,4.68,4.22
M,22,R,GT3,T ,2,2,at_home ,other ,Yes ,Yes ,450000,1,4.32,4.67
M,21,U,LE3,T ,2,3,teacher ,teacher ,No ,Yes ,300000,2,4.56,4.11
F,23,R,GT3,T ,3,4,services ,services ,Yes ,Yes ,100000,1,4.24,4.26
M,22,R,GT3,T ,2,4,at_home ,other ,No ,No ,550000,1,4.66,4.09
M,23,R,LE3,T ,4,4,teacher ,teacher ,No ,No ,500000,1,4.37,3.96
M,21,R,LE3,A ,4,3,services ,services ,Yes ,No ,50000,3,4.75,4.52
F,21,U,LE3,T ,2,2,services ,health ,Yes ,No ,850000,2,4.37,4.62
M,22,U,GT3,T ,3,2,at_home ,services ,No ,No ,800000,2,4.55,4.49
M,24,U,GT3,T ,4,3,at_home ,other ,Yes ,Yes ,300000,1,4.81,4.29
M,22,U,LE3,T ,2,3,teacher ,teacher ,Yes ,No ,800000,1,4.06,4.65
F,22,U,GT3,T ,4,3,health ,services ,Yes ,Yes ,600000,1,4.45,4.85
F,24,U,GT3,T ,3,4,other ,health ,Yes ,No ,300000,1,4.54,4.57
F,23,U,GT3,T ,2,2,other ,health ,No ,Yes ,700000,1,4.13,4.02
F,23,R,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,500000,1,4.05,4.52
M,21,U,LE3,T ,2,4,services ,other ,Yes ,No ,200000,1,4.86,4.44
F,21,U,GT3,T ,4,3,teacher ,other ,No ,Yes ,600000,2,4.85,4.4
M,22,R,GT3,T ,2,2,other ,teacher ,No ,Yes ,500000,1,4.04,4.14
F,20,U,GT3,T ,3,3,at_home ,services ,No ,Yes ,50000,1,4.18,4.85
M,24,U,GT3,T ,4,4,at_home ,other ,No ,Yes ,800000,4,4.1,4.79
M,24,R,LE3,T ,2,4,health ,teacher ,No ,Yes ,200000,1,4.61,4.26
M,20,R,GT3,T ,4,4,at_home ,services ,Yes ,Yes ,700000,3,4.73,4.69
F,23,U,GT3,T ,2,3,at_home ,other ,Yes ,Yes ,850000,5,4.78,4.22
M,23,R,GT3,T ,4,2,at_home ,other ,Yes ,No ,500000,3,4.32,4.27
M,24,U,LE3,T ,3,2,at_home ,services ,Yes ,No ,550000,1,3.92,3.97
F,22,U,GT3,T ,2,2,services ,other ,Yes ,No ,550000,1,4.52,4.65
F,21,U,GT3,T ,3,2,at_home ,other ,No ,Yes ,700000,3,4.93,4.83
M,23,R,GT3,T ,2,3,at_home ,services ,Yes ,Yes ,250000,1,4.52,4.07
F,20,R,LE3,T ,2,2,health ,other ,No ,Yes ,300000,1,4.06,4
F,24,R,GT3,T ,3,4,health ,other ,Yes ,Yes ,550000,1,4.88,4.55
F,23,U,GT3,T ,3,2,health ,services ,Yes ,Yes ,500000,5,4.18,3.97
